date,platform,amount,category
2024-01-01,Swiggy,350,Food
2024-01-02,Zomato,420,Food
2024-01-03,Swiggy,180,Food
2024-01-04,Blinkit,250,Groceries
2024-01-05,Zomato,550,Food
2024-01-06,Swiggy,310,Food
2024-01-07,BigBasket,400,Groceries
2024-01-08,Zomato,280,Food
2024-01-09,Swiggy,490,Food
2024-01-10,Netflix,199,Entertainment
2024-01-11,Zomato,370,Food
2024-01-12,Swiggy,220,Food
2024-01-13,Blinkit,180,Groceries
2024-01-14,Zomato,460,Food
2024-01-15,Swiggy,340,Food
2024-01-16,Amazon,650,Shopping
2024-01-17,Zomato,290,Food
2024-01-18,Swiggy,410,Food
2024-01-19,Blinkit,220,Groceries
2024-01-20,Zomato,380,Food
2024-01-21,Swiggy,270,Food
2024-01-22,Uber,350,Transport
2024-01-23,Zomato,430,Food
2024-01-24,Swiggy,190,Food
2024-01-25,BigBasket,300,Groceries
2024-01-26,Zomato,510,Food
2024-01-27,Swiggy,360,Food
2024-01-28,Myntra,800,Shopping
2024-01-29,Zomato,440,Food
2024-01-30,Swiggy,320,Food
